0,牡丹亭戏
2,谢东宸,哼，昆曲没那么容易吧？别以为通过了考验就沾沾自喜。关于文史知识，我再考考你，刚刚的那曲戏叫什么，是谁创作的？
2,戴奉尧,刚刚的那出戏叫《牡丹亭》，又名《还魂记》，为明朝汤显祖所作昆曲传统剧目。讲述的是杜丽娘梦想自由恋爱、死而还魂的故事。
2,谢东宸,那你再讲讲，除了《牡丹亭》，还有什么昆曲经典剧目啊？
2,戴奉尧,王世贞的《鸣凤记》，沈璟的《义侠记》等。高濂的《玉簪记》，李渔的《风筝误》，朱素臣的《十五贯》，孔尚任的《桃花扇》，洪升的《长生殿》，另外还有一些著名的折子戏，如《游园惊梦》《阳关》《三醉》《秋江》《思凡》《断桥》等。
2,谢东宸,哟呵，还真不错啊！那你知道昆曲的唱念语音又有什么特色吗？
2,戴奉尧,啊这……谢爷爷，我这还真不知道，所以我才会千里迢迢来这儿拜访您、找您学习啊！望您不吝赐教！
2,谢东宸,这油嘴滑舌的……你真是和你爷爷年轻的时候一个样儿！
2,戴奉尧,谢爷爷，您能给我讲讲我爷爷过去的故事吗？
2,谢东宸,哼，戴宗他打小就倔，来我们戏班子的时候也比你大不了多少岁，一副倔驴的样子，直接闯入我们戏园子要拜师学习昆曲。他那身衣服也是破破烂烂的，那副莽莽撞撞的样子哪里是像个文人！师傅看他不懂唐诗宋词之风韵、更不清元曲之雅致，少了昆曲弟子那份文人风骨，于是就想打发他走。谁知他竟使出程门立雪那招！
2,谢东宸,那年的冬天啊，特别的冷，加上南方阴雨连绵的天气，冷得人哪怕是在屋子里也直打颤！戴宗那人儿却根头倔驴似的硬生生在我们园子门口站了三天三夜，滴水未进，直至昏厥过去。还是我们师傅心肠软啊，招了他进来。果然，榆木脑袋就是榆木脑袋，像戴宗这样的大老粗怎么能学我们这被称作“百戏之祖”的昆曲呢！这不，他就得从头开始学唐诗宋词元曲，一首首地念、一句句地背，哪怕是到后来学成了也依旧比不上他师哥我。所以才灰溜溜地回了北方，听说又去了那什么开封学豫剧。我看呐，没有从小积累的童子功，只怕是难学喽！
2,戴奉尧,原来爷爷也有不擅长的戏啊，哈哈。其实我爷爷也是经常提起您呢，说您——
2,谢东宸,嗯？说我什么？
2,戴奉尧,啊，他说您容貌俊秀、知识渊博，唱起昆曲来更是一把好手！
2,谢东宸,哈哈，那是！好歹我也是师傅的亲传弟子，自幼就学习昆曲，到今年怎么说也有六十余载了。
2,戴奉尧,我爷爷让我对您说，他一直把您当作是最好的对手和朋友。
2,谢东宸,其实我也把他当作——嗐，算了，那戴宗他——你爷爷他身体咋样了？
2,戴奉尧,不太好。我出门之前，他一直卧病在床……
2,谢东宸,是啊，老了，都老了！但是我相信，老骥伏枥，志在千里。。。而且我怎么能放得下心呢？刚刚的一出戏，我们剧团筹备了许久，还张贴了许多海报。唉，观众依旧寥寥。哪怕是我们剧团，十年前年轻人还很多，都想来学戏，但是现在，人越来越少了。真怕哪天昆曲就没了。
2,戴奉尧,您放心，还有我，而且，我在学戏的这一路上遇到了许许多多的人，他们都对戏曲的传承依旧充满了热忱！所以，昆曲不能死也不会死！
1,right,谢东宸,好！说得好！昆曲不能死！中国戏曲不能死！这才是我们民族的魂！,叔
